Result for Fib(2): 1, expected: 1
Result for Fib(3): 2, expected: 2
Result for Fib(4): 3, expected: 3
Result for Fib(5): 5, expected: 5
Result for Fib(6): 8, expected: 8
Result for Fib(7): 13, expected: 13
Result for Fib(8): 21, expected: 21
Result for Fib(9): 34, expected: 34
Result for Fib(10): 55, expected: 55
Result for Fib(11): 89, expected: 89
Result for Fib(12): 144, expected: 144
Result for Fib(13): 233, expected: 233
Result for Fib(14): 377, expected: 377
Result for Fib(15): 610, expected: 610
Result for Fib(16): 987, expected: 987
Result for Fib(17): 1597, expected: 1597
Result for Fib(18): 2584, expected: 2584
Result for Fib(19): 4181, expected: 4181
Result for Fib(20): 6765, expected: 6765
Result for Fib(21): 10946, expected: 10946
Result for Fib(22): 17711, expected: 17711
Result for Fib(23): 28657, expected: 28657
Result for Fib(24): 46368, expected: 46368
Result for Fib(25): 75025, expected: 75025
Result for Fib(26): 121393, expected: 121393
Result for Fib(27): 196418, expected: 196418
Result for Fib(28): 317811, expected: 317811
Result for Fib(29): 514229, expected: 514229
Result for Fib(30): 832040, expected: 832040
Result for Fib(31): 1346269, expected: 1346269
Result for Fib(32): 2178309, expected: 217830
